"date","caption","link"
2023-06-14,"Yellow fever - Asia (03): India (TG) fake vaccination cards","https://promedmail.org/promed-post/?id=8710582&view=true"
2023-06-13,"Ricin poisoning - Pakistan: (Punjab)","https://promedmail.org/promed-post/?id=8710555&view=true"
2023-06-13,"Anthrax - Ghana (05): (UE) abattoir closure, meat alert Nigeria","https://promedmail.org/promed-post/?id=8710562&view=true"
2023-06-13,"Crimean-Congo hem. fever - Asia (09): Kazakhstan (ZM)","https://promedmail.org/promed-post/?id=8710559&view=true"
2023-06-13,"Anthrax - Kazakhstan (02): (ZM) cattle, conf, WOAH","https://promedmail.org/promed-post/?id=8710558&view=true"
2023-06-13,"Leptospirosis - Reunion (02): rain, floods","https://promedmail.org/promed-post/?id=8710557&view=true"
2023-06-12,"Rabies (25): Asia (Indonesia) dog, human, WOAH","https://promedmail.org/promed-post/?id=8710556&view=true"
2023-06-12,"Rabies (25): Americas (USA) moose","https://promedmail.org/promed-post/?id=8710550&view=true"
2023-06-12,"Southern rice black streaked dwarf virus - India: (PB) alert","https://promedmail.org/promed-post/?id=8710548&view=true"
2023-06-12,"COVID-19 update (22): trends, immunity, children, metformin, WHO","https://promedmail.org/promed-post/?id=8710546&view=true"
2023-06-12,"Measles update (27): Europe, Africa","https://promedmail.org/promed-post/?id=8710544&view=true"
2023-06-12,"Avian influenza, human (18): China (SC) H9N2, RFI","https://promedmail.org/promed-post/?id=8710545&view=true"
2023-06-12,"Zika virus (03): Americas, Asia, research, observations","https://promedmail.org/promed-post/?id=8710538&view=true"
2023-06-12,"Anthrax - Ghana (04): (UE) cattle, new district","https://promedmail.org/promed-post/?id=8710539&view=true"
2023-06-11,"Poisoning - UK: palm oil, dog, fatal","https://promedmail.org/promed-post/?id=8710536&view=true"
2023-06-11,"Syphilis - Canada (05): (BC) incr. incidence, youth, lack of condom use","https://promedmail.org/promed-post/?id=8710535&view=true"
2023-06-11,"Foodborne illness - Japan: (SM) aconite, mistaken plant identity","https://promedmail.org/promed-post/?id=8710537&view=true"
2023-06-11,"Undiagnosed deaths - UK: (England) dog","https://promedmail.org/promed-post/?id=8710533&view=true"
2023-06-11,"Candida auris - China: (HK) asymptomatic carriers, hospitals & home for elderly","https://promedmail.org/promed-post/?id=8710532&view=true"
2023-06-11,"Chikungunya (03): Americas","https://promedmail.org/promed-post/?id=8710530&view=true"
