"date","caption","link"
2022-07-17,"Listeriosis - USA (06): (FL) fatal, res/trav, ice cream culture positive, recall","https://promedmail.org/promed-post/?id=8704480&view=true"
2022-07-17,"COVID-19 update (155): BA.2.75, childhood vacc., WHO, global","https://promedmail.org/promed-post/?id=8704474&view=true"
2022-07-17,"Lumpy skin disease - Asia (12): Pakistan (SD, PB) cattle, spread, vaccination","https://promedmail.org/promed-post/?id=8704470&view=true"
2022-07-17,"Undiagnosed deaths (Russia): cattle (Rostov) potassium nitrate susp","https://promedmail.org/promed-post/?id=8704468&view=true"
2022-07-16,"Rabies (30): Asia (Sri Lanka) human, animal, dog, control, prevention","https://promedmail.org/promed-post/?id=8704464&view=true"
2022-07-15,"Monkeypox update (31)","https://promedmail.org/promed-post/?id=8704451&view=true"
2022-07-15,"Avian influenza (149): Europe (UK) wild bird, HPAI H5N1, WOAH","https://promedmail.org/promed-post/?id=8704449&view=true"
2022-07-15,"Q fever - Russia: (RO) RFI","https://promedmail.org/promed-post/?id=8704444&view=true"
2022-07-15,"Freckle disease, banana - Australia (02): (NT)","https://promedmail.org/promed-post/?id=8704439&view=true"
2022-07-15,"St Louis encephalitis virus - USA: (CA)","https://promedmail.org/promed-post/?id=8704435&view=true"
2022-07-15,"Malaria - Germany: (HE) Frankfurt airport","https://promedmail.org/promed-post/?id=8704432&view=true"
2022-07-15,"Japanese encephalitis & other - India (10): (AS)","https://promedmail.org/promed-post/?id=8704434&view=true"
2022-07-15,"Hendra virus - Australia (03): (QL) horse, possible human exp","https://promedmail.org/promed-post/?id=8704431&view=true"
2022-07-15,"COVID-19 update (154): omicron sub-variants, booster recommendations, WHO, global","https://promedmail.org/promed-post/?id=8704422&view=true"
2022-07-15,"Anthrax - Kyrgyzstan: (TL) human, cattle","https://promedmail.org/promed-post/?id=8704428&view=true"
2022-07-15,"Poliomyelitis update (29): WPV1 ES (Pakistan) VDPV2 (new country Algeria) WHO","https://promedmail.org/promed-post/?id=8704423&view=true"
2022-07-14,"Herpesvirus, zoo elephant - Switzerland (02): comment","https://promedmail.org/promed-post/?id=8704421&view=true"
2022-07-14,"Leptospirosis - Brazil (02): (PE) flooding, fatal","https://promedmail.org/promed-post/?id=8704414&view=true"
2022-07-14,"Banana bunchy top virus - Uganda: alert","https://promedmail.org/promed-post/?id=8704418&view=true"
2022-07-14,"Anthracnose & stem canker, dragon fruit - Philippines: (IN)","https://promedmail.org/promed-post/?id=8704416&view=true"
