"date","caption","link"
2022-05-26,"Rabies (22): Americas (USA) animal, human exp","https://promedmail.org/promed-post/?id=8703470&view=true"
2022-05-26,"Monkeypox update (03)","https://promedmail.org/promed-post/?id=8703465&view=true"
2022-05-26,"Avian influenza (126): Americas (USA) HPAI H5N1","https://promedmail.org/promed-post/?id=8703466&view=true"
2022-05-26,"COVID-19 update (126): post-COVID cond., resp., multi- organ, long COVID, WHO","https://promedmail.org/promed-post/?id=8703471&view=true"
2022-05-25,"Rift Valley fever - Burundi: (KI, NG) cattle, susp, RFI","https://promedmail.org/promed-post/?id=8703467&view=true"
2022-05-25,"Trypanosomiasis, African - Benin, Uganda, Rwanda: elimination, WHO","https://promedmail.org/promed-post/?id=8703462&view=true"
2022-05-25,"Foot & mouth disease - Indonesia (07): cattle, FMDV O/ME-SA/Ind-2001e, vaccine","https://promedmail.org/promed-post/?id=8703456&view=true"
2022-05-25,"COVID-19 update (125): Pakistan, PAHO, Paxlovid, N. Korea, WHO","https://promedmail.org/promed-post/?id=8703455&view=true"
2022-05-24,"Anthrax - Sierra Leone (02): (North West) livestock, human","https://promedmail.org/promed-post/?id=8703454&view=true"
2022-05-24,"Cronobacteriosis - USA: powdered form., alert, recall, fatal","https://promedmail.org/promed-post/?id=8703450&view=true"
2022-05-24,"Foodborne illness - India (09): (KL)","https://promedmail.org/promed-post/?id=8703451&view=true"
2022-05-24,"Leptospirosis - Fiji (05): fatal, more cases","https://promedmail.org/promed-post/?id=8703449&view=true"
2022-05-24,"Toxoplasmosis - New Zealand: dolphin","https://promedmail.org/promed-post/?id=8703448&view=true"
2022-05-24,"Hepatitis, undefined, global (17): children, adenovirus susp, 2021-22","https://promedmail.org/promed-post/?id=8703436&view=true"
2022-05-24,"Foot & mouth disease - Indonesia (06): cattle, st O, spread, reg impact, comment","https://promedmail.org/promed-post/?id=8703437&view=true"
2022-05-24,"Monkeypox update (02)","https://promedmail.org/promed-post/?id=8703425&view=true"
2022-05-23,"Avian influenza (125): Americas (Canada, USA) HPAI H5N1","https://promedmail.org/promed-post/?id=8703430&view=true"
2022-05-23,"Avian influenza (124): Americas (USA) fox, HPAI H5N1","https://promedmail.org/promed-post/?id=8703428&view=true"
2022-05-23,"Legionellosis - USA (05): (NYC)","https://promedmail.org/promed-post/?id=8703423&view=true"
2022-05-23,"Ebola update (06): Congo DR (EQ) fatal","https://promedmail.org/promed-post/?id=8703421&view=true"
