"date","caption","link"
2022-07-27,"Blight, sweet chestnut - UK: survey","https://promedmail.org/promed-post/?id=8704695&view=true"
2022-07-27,"COVID-19 update (158): next generation vaccines, antivirals, WHO, global","https://promedmail.org/promed-post/?id=8704690&view=true"
2022-07-26,"MERS-CoV (06): Turkey, animal reservoir, dromedary camel, serology","https://promedmail.org/promed-post/?id=8704686&view=true"
2022-07-26,"Salmonellosis, st Newport - Sweden: frozen Chinese crayfish, 2019","https://promedmail.org/promed-post/?id=8704685&view=true"
2022-07-26,"Vibriosis - USA: (MA) raw oysters susp","https://promedmail.org/promed-post/?id=8704684&view=true"
2022-07-26,"E. coli EHEC - France (06): (PR,LP) O26, pediatr. HUS, dairy prod., alert, recall","https://promedmail.org/promed-post/?id=8704680&view=true"
2022-07-26,"Marburg virus disease - Ghana (03)","https://promedmail.org/promed-post/?id=8704676&view=true"
2022-07-26,"Monkeypox update (39)","https://promedmail.org/promed-post/?id=8704672&view=true"
2022-07-26,"White nose syndrome, bats - North America (03): USA (CO)","https://promedmail.org/promed-post/?id=8704673&view=true"
2022-07-26,"Crimean-Congo hem. fever - Europe (04): Spain","https://promedmail.org/promed-post/?id=8704590&view=true"
2022-07-26,"West Nile virus (05): Europe, ECDC update, Italy","https://promedmail.org/promed-post/?id=8704609&view=true"
2022-07-26,"Fruit rot, jackfruit - India: (KL)","https://promedmail.org/promed-post/?id=8704670&view=true"
2022-07-25,"Lumpy skin disease - Asia (14): India (GJ) cattle, spread","https://promedmail.org/promed-post/?id=8704667&view=true"
2022-07-25,"Anthrax - Canada (02): (NT) bison, susp","https://promedmail.org/promed-post/?id=8704662&view=true"
2022-07-25,"Hepatitis, undefined, global (26): children, UK, adeno-assoc virus 2 role 2021-22","https://promedmail.org/promed-post/?id=8704655&view=true"
2022-07-25,"Avian influenza (153): Americas (USA) wild bird, HPAI H5N1","https://promedmail.org/promed-post/?id=8704657&view=true"
2022-07-25,"Hantavirus - Americas (24): Panama","https://promedmail.org/promed-post/?id=8704654&view=true"
2022-07-25,"Yellow fever - Africa (10): Kenya","https://promedmail.org/promed-post/?id=8704651&view=true"
2022-07-25,"Brown streak, cassava - Zambia: alert","https://promedmail.org/promed-post/?id=8704650&view=true"
2022-07-25,"Monkeypox update (38)","https://promedmail.org/promed-post/?id=8704644&view=true"
