"date","caption","link"
2022-01-20,"Botulism - Ukraine: 2021","https://promedmail.org/promed-post/?id=8700992&view=true"
2022-01-20,"African swine fever - Asia (04): China (Hong Kong) wild boar, OIE","https://promedmail.org/promed-post/?id=8700991&view=true"
2022-01-20,"Avian influenza (22): Americas (USA) wild bird, HPAI H5N1","https://promedmail.org/promed-post/?id=8700990&view=true"
2022-01-20,"Mosaic disease, chestnut - Europe: new virus","https://promedmail.org/promed-post/?id=8700981&view=true"
2022-01-20,"Tar spot, maize - Canada: (ON) spread","https://promedmail.org/promed-post/?id=8700980&view=true"
2022-01-20,"Hantavirus - Americas (03): Argentina (CH) details","https://promedmail.org/promed-post/?id=8700944&view=true"
2022-01-19,"Hepatitis A - USA (05): (PA) restaurant cluster, fatal","https://promedmail.org/promed-post/?id=8700972&view=true"
2022-01-19,"Vibrio parahaemolyticus - New Zealand: mussels","https://promedmail.org/promed-post/?id=8700974&view=true"
2022-01-19,"COVID-19 update (24): USA home tests, Europe & Asia action, omicron, WHO","https://promedmail.org/promed-post/?id=8700977&view=true"
2022-01-19,"Syphilis - USA: (WA) women, congenital, drug use, homeless","https://promedmail.org/promed-post/?id=8700962&view=true"
2022-01-19,"Announcements (01): ProMED anniversary award 2021","https://promedmail.org/promed-post/?id=8700960&view=true"
2022-01-19,"Avian influenza (21): Europe, poultry, backyard, HPAI H5N1, OIE","https://promedmail.org/promed-post/?id=8700957&view=true"
2022-01-19,"COVID-19 update (23): China (Hong Kong) animal, hamster, public health hazard","https://promedmail.org/promed-post/?id=8700956&view=true"
2022-01-19,"COVID-19 update (22): mobility, breath test, co-infection, Israel 4th dose, WHO","https://promedmail.org/promed-post/?id=8700955&view=true"
2022-01-18,"Hepatitis E - Chad: (TA)","https://promedmail.org/promed-post/?id=8700952&view=true"
2022-01-18,"Avian influenza (20): Africa (Togo) poultry, HPAI H5N1, OIE","https://promedmail.org/promed-post/?id=8700941&view=true"
2022-01-17,"Avian influenza (19): Americas (USA) wild bird, HPAI H5, OIE","https://promedmail.org/promed-post/?id=8700932&view=true"
2022-01-17,"Foot & mouth disease - Kazakhstan: (QG) cattle, st O, OIE","https://promedmail.org/promed-post/?id=8700914&view=true"
2022-01-17,"Avian influenza, human (04): Asia (China) H5N6","https://promedmail.org/promed-post/?id=8700903&view=true"
2022-01-17,"COVID-19 update (21): neurology, isolation period cut","https://promedmail.org/promed-post/?id=8700934&view=true"
