"date","caption","link"
2022-06-11,"African swine fever - Europe (15): Italy (LZ) domestic, control","https://promedmail.org/promed-post/?id=8703812&view=true"
2022-06-11,"COVID-19 update (139): aerosol spread, in utero exposure, long COVID, WHO, global","https://promedmail.org/promed-post/?id=8703811&view=true"
2022-06-11,"Meningitis, meningococcal - Nigeria: (JI) susp, fatal, children, RFI","https://promedmail.org/promed-post/?id=8703809&view=true"
2022-06-11,"Brucellosis - Israel: (HZ) cattle, B. abortus, recurrence susp, RFI","https://promedmail.org/promed-post/?id=8703810&view=true"
2022-06-11,"Monkeypox - Africa (08): Nigeria","https://promedmail.org/promed-post/?id=8703805&view=true"
2022-06-11,"COVID-19 update (138): MIS-C, children, Novavax, origin, South Asia, WHO, global","https://promedmail.org/promed-post/?id=8703804&view=true"
2022-06-11,"COVID-19 update (137): long COVID, police deaths, vaccines, WHO, global","https://promedmail.org/promed-post/?id=8703803&view=true"
2022-06-10,"Avian influenza (137): Europe, backyard, HPAI H5N1, WOAH (formerly OIE)","https://promedmail.org/promed-post/?id=8703802&view=true"
2022-06-10,"White nose syndrome, bats - North America (02): USA (ID)","https://promedmail.org/promed-post/?id=8703796&view=true"
2022-06-10,"Murine typhus - New Zealand: (Auckland) stray cats","https://promedmail.org/promed-post/?id=8703794&view=true"
2022-06-10,"Monkeypox update (11)","https://promedmail.org/promed-post/?id=8703793&view=true"
2022-06-10,"Listeriosis - Denmark: fatal, WGS, RFI","https://promedmail.org/promed-post/?id=8703790&view=true"
2022-06-10,"Anisakiasis - Japan (02): increase","https://promedmail.org/promed-post/?id=8703788&view=true"
2022-06-10," Tomato brown rugose fruit virus - UK: reoccurrence","https://promedmail.org/promed-post/?id=8703789&view=true"
2022-06-10,"Foodborne illness - Algeria: (SK) candy susp, RFI","https://promedmail.org/promed-post/?id=8703776&view=true"
2022-06-09,"African swine fever - Asia (10): China (Hong Kong) wild boar, WOAH ","https://promedmail.org/promed-post/?id=8703775&view=true"
2022-06-09,"Undiagnosed toxin - Algeria: (SK) candy susp, RFI","https://promedmail.org/promed-post/?id=8703764&view=true"
2022-06-09,"Avian influenza (136): Asia (Taiwan) wild bird, HPAI H5N2, WOAH (formerly OIE)","https://promedmail.org/promed-post/?id=8703773&view=true"
2022-06-09,"Rhinotracheitis, bovine (IBR/IPV) - Kazakhstan: (AM, PV), WOAH (formerly OIE)","https://promedmail.org/promed-post/?id=8703771&view=true"
2022-06-09,"Southern rust, maize - USA: (FL, GA)","https://promedmail.org/promed-post/?id=8703769&view=true"
